match_status,distance_m,ienc_name,ienc_waterway,ienc_lat,ienc_lon,ienc_length_m,ienc_width_m,ienc_rise_m,app_id,app_name,app_lat,app_lon
match,0.3,Sas écluse n°24 d' Ecrouves CMRO,Moselle,48.677203,5.8723,39.0,5.1,,lk116,Sas écluse n°24 d' Ecrouves CMRO,48.6772,5.8723
match,0.4,Saargemünd (N° 28),Saar,49.113503,7.067304,38.5,5.1,,lk188,Saargemünd (N° 28),49.1135,7.0673
match,0.5,Grande écluse de Bougival,Seine,48.870899,2.128994,219.6,12.0,,lk140,Grande écluse de Bougival,48.8709,2.129
match,0.5,Sas Petite Ecluse n°27,Moselle,48.7571,6.142393,38.5,6.0,,lk217,Sas Petite Ecluse n°27,48.7571,6.1424
match,0.5,Ecluse n°1 de Bougival - 220x12m,Seine,48.870899,2.128994,219.6,12.0,,lk140,Grande écluse de Bougival,48.8709,2.129
match,0.5,Keersluis K1 te Vinderhoute,Ringvaart om Gent,51.086248,3.660974,,,,w_osm_549314062,Keersluis K1 te Vinderhoute,51.0862472,3.6609676
match,0.6,Nieuwpoortsluis te Veurne,Canal Nieuwpoort–Dunkerque,51.070605,2.668098,38.5,5.1,,lk179,Nieuwpoortsluis te Veurne,51.0706,2.6681
match,0.7,anc écluse de Verdun sur le Doubs,Saône,46.898596,5.032307,185.0,12.0,,lk241,anc écluse de Verdun sur le Doubs,46.8986,5.0323
match,0.8,Ancienne écluse de Carrières-Sous-Poissy,Seine,48.950695,2.045608,141.0,12.0,,lk145,Ancienne écluse de Carrières-Sous-Poissy,48.9507,2.0456
match,0.8,Ecluse de Goeulzin,Canal Dunkerque–Escaut,50.315305,3.080108,144.6,12.0,,lk218,Ecluse de Goeulzin,50.3153,3.0801
match,0.8,Ecluse à Nacelle bief APACH,Moselle,49.467099,6.366211,24.5,3.6,,lk227,Ecluse à Nacelle bief APACH,49.4671,6.3662
match,0.8,Mettlach,Saar,49.490993,6.580399,40.0,6.79,,lk289,Mettlach,49.491,6.5804
match,0.9,Serrig,Saar,49.566901,6.592912,40.0,6.79,,lk296,Serrig,49.5669,6.5929
match,1.0,Ecluse des Fontinettes,Canal Dunkerque–Escaut,50.728608,2.307406,144.0,12.0,,lk173,Ecluse des Fontinettes,50.7286,2.3074
match,1.0,Ecluse RD n°7 du Coudray,Seine (Amont),48.573298,2.482713,180.0,18.0,,lk283,Ecluse RD n°7 du Coudray,48.5733,2.4827
match,1.1,Mettlach,Saar,49.491208,6.57931,190.0,12.04,,lk290,Mettlach,49.4912,6.5793
match,1.2,Ecluse de la Tuilerie,Saône,47.099992,5.318811,43.45,5.2,,lk171,Ecluse de la Tuilerie,47.1,5.3188
match,1.2,Ecluse n°8 de Denain,Canal Dunkerque–Escaut,50.318302,3.389817,144.6,12.0,,lk194,Ecluse n°8 de Denain,50.3183,3.3898
match,1.2,Écluses de Kembs,Rhine,47.652511,7.526497,186.5,22.9,,lk245,Écluses de Kembs,47.6525,7.5265
match,1.3,Petite Ecluse de THIONVILLE,Moselle,49.345592,6.165614,38.5,5.9,4.28,lk137,Petite Ecluse de THIONVILLE,49.3456,6.1656
match,1.3,Ecluse de Saint-Maurice,Seine,48.816706,2.424184,125.0,11.4,,lk206,Ecluse de Saint-Maurice,48.8167,2.4242
match,1.3,Ecluse de Courchelettes,Canal Dunkerque–Escaut,50.342288,3.052499,89.0,11.4,,lk220,Ecluse de Courchelettes,50.3423,3.0525
match,1.4,Écluse secondaire de Niffer,Canal du Rhône au Rhin,47.704112,7.504594,85.0,12.0,,lk157,Écluse secondaire de Niffer,47.7041,7.5046
match,1.4,Ecluse côté Seine n°8 d'Evry,Seine (Amont),48.642008,2.445014,172.0,18.0,,lk269,Ecluse côté Seine n°8 d'Evry,48.642,2.445
match,1.5,Ecluse de THIONVILLE,Moselle,49.344101,6.166321,174.84,12.0,4.28,lk136,Ecluse de THIONVILLE,49.3441,6.1663
match,1.5,Ancienne écluse de Gigny,Saône,46.654502,4.95328,160.0,16.1,,lk177,Ancienne écluse de Gigny,46.6545,4.9533
match,1.7,Écluses de Fessenheim,Rhine,47.910493,7.57142,183.0,22.8,,lk108,Écluses de Fessenheim,47.9105,7.5714
match,1.7,Ecluse n°3 de Sarron,Oise,49.306193,2.613821,120.0,11.4,,lk152,Ecluse n°3 de Sarron,49.3062,2.6138
match,1.7,Ecluse du Haut pont,Canal Dunkerque–Escaut,50.765802,2.261276,38.5,5.05,,lk176,Ecluse du Haut pont,50.7658,2.2613
match,1.7,Ecluse n°12 de Valenciennes dite de Folien,Canal Dunkerque–Escaut,50.366503,3.517523,144.6,12.0,,lk192,Ecluse n°12 de Valenciennes dite de Folien,50.3665,3.5175
match,1.7,Ecluse de 165x17 de Méricourt,Seine,49.02881,1.616818,160.0,16.4,,lk203,Ecluse de 165x17 de Méricourt,49.0288,1.6168
match,1.7,Ecluse n°2 de Méricourt - 165x17m,Seine,49.02881,1.616818,160.0,16.4,,lk203,Ecluse de 165x17 de Méricourt,49.0288,1.6168
match,1.9,Ecluse de Don,Canal Dunkerque–Escaut,50.545983,2.917405,144.6,12.0,,lk127,Ecluse de Don,50.546,2.9174
match,1.9,Saarbrücken,Saar,49.240692,6.929323,190.0,12.04,,lk166,Saarbrücken,49.2407,6.9293
match,1.9,Ecluse du Grand Carré,Canal Dunkerque–Escaut,50.647889,3.045379,144.6,12.0,,lk222,Ecluse du Grand Carré,50.6479,3.0454
match,1.9,Ecluse n°12 de la Tombe,Seine (Amont),48.392912,3.107182,40.0,7.8,,lk265,Ecluse n°12 de la Tombe,48.3929,3.1072
match,2.0,Sas écluse n°27 de Toul CMRO,Moselle,48.683608,5.899725,39.0,5.1,,lk119,Sas écluse n°27 de Toul CMRO,48.6836,5.8997
match,2.0,Saarbrücken,Saar,49.240982,6.928004,190.0,12.04,,lk167,Saarbrücken,49.241,6.928
match,2.0,écluse St-Jean-de-Losne,Saône,47.102703,5.258526,38.6,5.0,,lk168,écluse St-Jean-de-Losne,47.1027,5.2585
match,2.0,Nieuwe stuwsluis Menen kolk,Leie,50.780789,3.100978,86.0,10.3,,lk104,Ecluse de Menin,50.7808,3.101
match,2.0,écluse,Rhône,43.824596,4.641324,195.0,10.5,,lk248,écluse,43.8246,4.6413
match,2.0,Ecluse n°5 de Beaulieu,Seine (Amont),48.495302,3.465827,120.0,10.3,,lk277,Ecluse n°5 de Beaulieu,48.4953,3.4658
match,2.1,Saarbrücken,Saar,49.240594,6.929772,190.0,12.04,,lk165,Saarbrücken,49.2406,6.9298
match,2.1,Écluses de Ottmarsheim,Rhine,47.768699,7.526528,183.0,11.45,,lk184,Écluses de Ottmarsheim,47.7687,7.5265
match,2.1,Ecluse n°17 de Saint-Maur,Seine,48.812819,2.457301,125.0,12.0,,lk209,Ecluse n°17 de Saint-Maur,48.8128,2.4573
match,2.2,Ancienne écluse de Port Bernalin,Saône,45.912217,4.811385,185.0,12.0,,lk102,Ancienne écluse de Port Bernalin,45.9122,4.8114
match,2.2,Écluses de Gambsheim,Rhine,48.684994,7.911071,270.0,24.0,,lk106,Écluses de Gambsheim,48.685,7.9111
match,2.2,Sas écluse n°23 d' Ecrouves CMRO,Moselle,48.675206,5.863229,39.0,5.1,,lk115,Sas écluse n°23 d' Ecrouves CMRO,48.6752,5.8632
match,2.2,Ecluse de l'ORNE-RICHEMONT,Moselle,49.280604,6.181829,175.18,12.0,4.35,lk148,Ecluse de l'ORNE-RICHEMONT,49.2806,6.1818
match,2.3,écluse de Couzon,Saône,45.847281,4.835412,185.0,12.0,,lk101,écluse de Couzon,45.8473,4.8354
match,2.3,Ecluse RG n°10 de Port-à-l'Anglais,Seine,48.797621,2.416899,180.0,15.0,,lk208,Ecluse RG n°10 de Port-à-l'Anglais,48.7976,2.4169
match,2.5,écluse d'Ormes,Saône,46.619312,4.947972,185.0,12.0,,lk180,écluse d'Ormes,46.6193,4.948
match,2.5,Grande écluse d'Amfreville,Seine,49.312421,1.236987,220.0,17.0,,lk201,Grande écluse d'Amfreville,49.3124,1.237
match,2.5,Ecluse n°1 de Venette,Oise,49.413898,2.809066,180.0,11.4,,lk212,Ecluse n°1 de Venette,49.4139,2.8091
match,2.5,Ecluse n°3 d'Amfreville - 220x17m,Seine,49.312421,1.236987,220.0,17.0,,lk201,Grande écluse d'Amfreville,49.3124,1.237
match,2.5,Rehlingen,Saar,49.372815,6.697974,190.0,12.04,,lk292,Rehlingen,49.3728,6.698
match,2.6,Grosbliederstroff (N° 30),Saar,49.166085,7.029627,38.5,5.1,,lk186,Grosbliederstroff (N° 30),49.1661,7.0296
match,2.6,Moyenne écluse d'Amfreville,Seine,49.312006,1.236465,141.0,12.0,,lk202,Moyenne écluse d'Amfreville,49.312,1.2365
match,2.6,Ecluse n°1 d'Amfreville - 141x12m,Seine,49.312006,1.236465,141.0,12.0,,lk202,Moyenne écluse d'Amfreville,49.312,1.2365
match,2.6,Ecluse 4.1 de la Cave (172 x 12),Seine (Amont),48.481812,2.70653,172.0,12.0,,lk286,Ecluse 4.1 de la Cave (172 x 12),48.4818,2.7065
match,2.7,Sas écluse n°47 de Messein CVOSGES,Moselle,48.609703,6.128736,39.0,5.1,,lk131,Sas écluse n°47 de Messein CVOSGES,48.6097,6.1287
match,2.7,Petite Ecluse de l'ORNE-RICHEMONT,Moselle,49.281083,6.182273,38.5,6.0,4.35,lk149,Petite Ecluse de l'ORNE-RICHEMONT,49.2811,6.1823
match,2.7,Ecluse de Rive Gauche de Suresnes,Seine,48.870987,2.232831,160.5,17.0,,lk162,Ecluse de Rive Gauche de Suresnes,48.871,2.2328
