kind,id,name,waterway,lat,lon,distance_m,nearest_waterway_name
mooring,m172,Halte Fluviale de Besançon,Canal du Doubs,47.2396,6.0266,37813.7,River Saône
mooring,m130,Arras – Port de Plaisance,Canal de la Scarpe,50.2953,2.8088,21166.4,Canal du Nord
mooring,m131,Lille – Port de Plaisance,Canal de la Deûle,50.6434,3.0587,11627.9,River Lys
mooring,m224,Port de Plaisance d'Amiens,Canal de la Somme,49.8964,2.3057,10939.8,La Somme Canalisée
mooring,m081,Arcy-sur-Cure – Halte,Canal du Nivernais,47.605,3.76,5580.3,Canal du Nivernais
mooring,m010,St Étienne-des-Sorts – Halte,Rhône,44.192,4.651,3061.1,River Rhône
mooring,m127,Montélimar – Halte Nautique,Rhône,44.557,4.753,2952.8,Le Rhône - Canal de Châteauneuf-du-Rhône
mooring,m204,Halte Fluviale de Carhaix,Canal de Nantes à Brest,48.2786,-3.5706,2925.5,Canal de Nantes à Brest
mooring,m011,Laudun-l'Ardoise – Port 2,Rhône,44.0985,4.682,2415.4,Le Rhône - Bras de la Piboulette
mooring,m015,Port St Louis – Halte,Rhône,43.393,4.831,2363.4,River Rhône
mooring,m082,Châtel-Censoir – Halte,Canal du Nivernais,47.5473,3.5483,2279.9,River Yonne
mooring,m133,Douai – Port de Plaisance,Canal de la Sensée,50.371,3.08,2052.9,Liaison Dunkerque–Escaut
mooring,m080,Vermenton – Halte Nautique,Canal du Nivernais,47.679,3.7418,2049.0,Canal du Nivernais Embranchement de Vermenton
mooring,m192,Halte Fluviale de Langres,Canal entre Champagne et Bourgogne,47.8617,5.3317,2015.0,River Marne
mooring,m013,Aramon – Halte,Rhône,43.883,4.715,1959.7,River Rhône
mooring,m016,Port Napoleon (Port St Louis),Rhône,43.388,4.829,1790.2,River Rhône
mooring,m024,Honfleur – Vieux Bassin Port,Seine Maritime,49.419,0.233,1581.5,River Seine
mooring,m144,Blain – Halte Nautique,Canal de Nantes à Brest,47.479,-1.762,1520.4,Canal de Nantes à Brest
mooring,m125,Belleville-en-Beaujolais – Port,Saône,46.112,4.747,1463.3,River Saône
mooring,m191,Halte Fluviale de Chaumont,Canal entre Champagne et Bourgogne,48.1167,5.1333,1384.0,River Marne
mooring,m052,St-Jean-de-Losne – Grand Bassin,Saône,47.112,5.27,1308.4,River Saône
mooring,m114,Dijon – Port du Canal,Canal de Bourgogne,47.322,5.041,1298.7,Canal de Bourgogne
mooring,m033,Agde – Port de Plaisance,Canal du Midi,43.309,3.476,1295.0,Canal du Midi
mooring,m171,Port de Plaisance de Montbéliard,Canal du Rhône au Rhin,47.5167,6.8,1291.6,Canal du Rhône au Rhin - Branche Sud
mooring,m121,Gray – Port de Plaisance,Saône,47.438,5.59,1272.0,River Saône
mooring,m085,Corbigny – Halte Nautique,Canal du Nivernais,47.253,3.675,1142.5,River Yonne
mooring,m222,Halte Fluviale de Péronne,Canal du Nord,50.08,3.0183,1134.2,Canal du Nord
mooring,m213,Port-la-Nouvelle Marina,Canal de la Robine,43.0167,3.0506,1125.4,Canal de la Robine
mooring,m091,Villeneuve-sur-Yonne – Halte,River Yonne,48.074,3.302,1085.9,River Yonne
mooring,m162,Halte Fluviale de Noyon,Canal de l'Oise à l'Aisne,49.5833,3.0,996.8,Canal du Nord
mooring,m231,Port de Plaisance de Troyes,Petite Seine,48.2992,4.0683,978.9,River Seine
mooring,m003,Andancette – Halte,Rhône,45.236,4.793,967.1,River Rhône
mooring,m151,Homps – Halte Nautique,Canal du Midi,43.255,2.742,952.3,Canal du Midi
mooring,m112,Ancy-le-Franc – Port de Plaisance,Canal de Bourgogne,47.778,4.161,940.0,Canal de Bourgogne
mooring,m086,Châtillon-en-Bazois – Halte,Canal du Nivernais,47.025,3.64,922.0,Canal du Nivernais
mooring,m223,Port de Plaisance de Saint-Quentin,Canal de Saint-Quentin,49.8467,3.285,909.0,Canal de Saint-Quentin
mooring,m008,Cruas – Port,Rhône,44.648,4.763,883.2,River Rhône
mooring,m070,Nancy – Port de Plaisance,Canal de la Marne au Rhin,48.692,6.184,863.0,Canal de la Marne au Rhin
mooring,m115,Tonnerre – Halte Nautique,Canal de Bourgogne,47.8584,3.974,852.9,Canal de Bourgogne
mooring,m160,Halte Fluviale de Soissons,Canal latéral à l'Aisne,49.3767,3.3233,838.4,L'Aisne
mooring,m211,Port de Plaisance d'Angers,River Maine,47.4667,-0.555,833.2,La Maine
mooring,m170,Port de Plaisance de Mulhouse,Canal du Rhône au Rhin,47.7483,7.335,813.4,Canal du Rhône au Rhin - Branche Sud
mooring,m040,Agen – Port de Plaisance,Canal de Garonne,44.202,0.621,806.1,Canal de Garonne
mooring,m228,Halte Fluviale de Josselin,Canal de Nantes à Brest,47.955,-2.5467,802.4,Canal de Nantes à Brest
